09.09.2024,Letzter Ferientag,Neues Schuljahr, neues Brain! Wir wünschen dir ein tolles neues Schuljahr. Im Monat September beginnen wir mit den Planzen der Unterwasserwelt.
10.09.2024,Quiz,Wie heißt das größte Korallenriff der Welt? Antwort: Das „Great Barrier Reef“"
11.09.2024,Tipp	Manche Korallenarten können Giftstoffe besitzen. Am besten nicht leichtsinnig anfassen!
12.09.2024,Witz	"Was sagt eine Koralle zur Anderen beim Tanzen? Antwort: Lass uns die Welle machen!"
13.09.2024,Verbreiteter Aberglaube,Viele Menschen sehen Freitag den 13. als einen Pechs- oder Unglücks Tag.
14.09.2024,Wochenende,Rezept: Korallenchips Zutaten: 120ml Wasser, 120ml Öl, 27g Mehl Typ 405, etwas Curry oder Kurkuma (ggf. etwas Lebensmittelfarbe). - Wasser(120ml), neutrales Öl(120ml), Mehl(27g), ein Färbmittel deiner Wahl und Kurkuma oder Curry miteinander vermengen und mit einem Schneebesen glattrühren (bis keine Mehlklumpen mehr übrig sind). - Die Pfanne ohne Öl heiß werden lassen. - Die Korallenchips Flüssigkeit mit einer Kelle in die Mitte der Pfanne gießen. - Die Flüssigkeit so lange braten lassen, bis du kein Wasser mehr spritzen siehst. - Die Chips nun vorsichtig lösen und auf ein vorbereitetes Küchenpapier platzieren, um diese zu entfetten und auskühlen zu lassen. (Bild von Korallenchips)"
15.09.2024,Wochenende,	
16.09.2024,Witz,"Warum hat die Lotusblume schlechte Noten in der Schule bekommen? Antwort: Weil sie im Teich abgesunken ist!"
17.09.2024,Nice to know,Lotusblumen stehen symbolisch für Reinheit, Schönheit und Neubeginn.
18.09.2024,Quiz,"Wann öffnen sich Lotusblumen normalerweise? A: Nur in der Nacht; B: Nur am Tag; C: Tagsüber, schließen sich aber in der NAcht                                                                                                                                                                                                                                                                                                                                                        "
19.09.2024,Tipp,Manche Kulturen benutzen Lotusteile ihn ihren typischen Spezialitäten. Also nicht sofort abschrecken lassen.
20.09.2024,Fun Fact,Lotusblumen könnten auf Wasser schweben, aber die blühen lieber voll auf, um nicht als „leichte Schwimmer“ abgestempelt zu werden!
21.09.2024,Wochenende,
22.09.2024,Wochenende,		
23.09.2024,Tipp,Sie können Seetang in Suppen, Salat und besonders in Sushi und mehr verwenden, um neue Geschmacks Erfahrungen zu sammeln.
24.09.2024,Nice to know,Heute ist der Welttag der Gorillas!
25.09.2024,Witz,Warum ist der Seetang so ein schlechter Lügner? Weil er im Salzwasser schwimmt und so leicht durchschaubar ist!
26.09.2024,Quiz,"Welche Rolle spielt Seetang häufig in der japanische Küche, besonders in der Sushi-Zubereitung? A: Garnierung; B: Hauptgericht; C: Getränke -Antwort: A"
27.09.2024,Fun Fact,Seetang kann bis zu 20-Mal schneller wachsen als Landpflanzen, was zu einer erstaunlich effizienten und nachhaltigen Ressource macht.
28.09.2024,Wochenende,Rezept: Japanischer Algensalat "Zutaten: 1 Tüte Wakame(getrockneter Seetang),3 EL Essig, 3EL Sesamöl, 1 EL Limettensaft, 1 EL Ingwer(frisch gerieben), 1 El Zucker, 1 Zehe Knoblauch(gepresst), 2 El Koriandergrün(feingehackt), ½ EL Chilipulver, 1 El Sesam - Seetang mit heißem Wasser aufgießen und 10 min ziehen lassen - Alle genannten Zutaten, außer dem Seetang und der Sesamsaat in einer kleinen Schüssel vermischen, bis es glatt ist - Je nach Schärfewunsch mit dem Chilipulver abschmecken - Den Seetang abgießen und ein wenig auswringen. Darauf den abgetrockneten Seetang unter die Soße heben und Sesamsaat nach Belieben drüberstreuen und ca. eine Stunde durchziehen lassen, am besten im Kühlschrank - Der Salat ist am besten zu verspeisen mit Sushi und ist gut in Portionen einfrieren zu lassen "
29.09.2024,Wochenende,
30.09.2024,Fun Fact,Die ersten Haie lebten bereits mehr als 100 Millionen Jahre vor den Dinosauriern.
01.10.2024,Quiz,"Wie werden Haie noch genannt? A) Wasserlöwen B) schwimmende Nasen C) Tiefsee Jäger -Antwort: B)"
02.10.2024,Nice to know,Megalodons wurden bis zu 20 Meter groß und waren damit die größte Haiart.
03.10.2024,Feiertag,Tag der deutschen Einheit 
04.10.2024,Fun Fact,Haie haben eine komplexe Sozialstruktur, die der von Delphinen ähnelt. Sie haben Freunde und können mit größeren Gruppen interagieren. "
05.10.2024,Wochenende,Rezept: https://www.livingathome.de/kochen-feiern/rezepte/fischstaebchen-im-backofen-zubereiten-13482890.html
06.10.2024,Wochenende,		
07.10.2024,Fun Fact,Das erste Säugetier der Neuen Welt, das Christopher Kolumbus auf seiner zweiten Amerikareise 1494 entdecke, war eine Robbe.
08.10.2024,Quiz,"Wie viele Robbenarten gibt es weltweit? A) 33 B) 3 C) 13 -Antwort: A)"
09.10.2024,Tipp,Im nieder-sächsischen Wattenmeer können vom Land aus Robben beobachtet werden.
10.10.2024,Fun Fact,Heute ist derWelthundetag.
11.10.2024,Nice to know,Alle Seehunde sind Robben.
12.10.2024,Wochenende-Tipp,Das Seehund-Team auf Netflix erhältlich.
13.10.2024,Wochenende,
14.10.2024,Nice to know,Plankton dient als Hauptquelle der Sauerstoffproduktion.
15.10.2024,Quiz,"In welcher beliebten Kinderserie spielt Plankton eine große Rolle? A) findet Nemo B) Spongebob C) Spider-Man -Antwort: B) "
16.10.2024,Fun Fact,Planktonextrakt ist bekannt für seine Fähigkeit Haut zu regenerieren.
17.10.2024,Witz,"Warum ist Plankton schlecht in Basketball? Antwort: Weil es immer im Netz hängen bleibt ."
18.10.2024,Nice to know	Plankton,besteht aus den kleinsten Lebewesen der Welt.
19.10.2024,Wochenende,Heute ist der internationale Tag der Reperatur.
20.10.2024,Wochenende,
21.10.2024,Fun Fact,Schnabeltiere besitzen Paddelfüße mit Krallen, die an die eines Bären ähneln.
22.10.2024,Nice to know,Heute ist der Tag des Wombats.
23.10.2024,Quiz,"Seit wann gibt es Schnabeltiere? A) 6 Mio. Jahren B)5000 Jahren C)165 Mio. Jahren -Antwort: C)"
